Title,Excerpt,Year,Authors,URL,Citations
"Computational simulations of hemodynamic changes within thoracic, coronary, and cerebral arteries following early wall remodeling in response to distal aortic  …","... free of cardiovascular disease to collectively encompass all major arteries from the brain to the ...The final parameter values for the heart model and Windkessel models are listed in ... LAD) coronaryartery, left common carotid artery (LCCA), left middle cerebral artery (LMCA), and ...",2013,"JS Coogan, JD Humphrey, CA Figueroa ",http://link.springer.com/article/10.1007/s10237-012-0383-x,26
Noninvasive monitoring of cerebral perfusion pressure in patients with acute liver failure using transcranial doppler ultrasonography,"... A time series of TCD scans (middle cerebral artery blood flow velocity versus time) from a ... TheWindkessel effect arises from the elastic compliance of arterial vessels. ... Increased extramuralpressure (for example, cerebral swelling) or arterial vasoparalysis due to declining CO 2 ...",2008,"S Aggarwal, DM Brooks, Y Kang, PK Linden… ",http://onlinelibrary.wiley.com/doi/10.1002/lt.21499/full,61
An impedance index in normal subjects and in subarachnoid hemorrhage,... a Windkessel element containing inductance in series with a second Windkessel to model ... Theimpedance index curves for patients in vasospasm (middle cerebral velocity greater than ... invasivetranscranial Doppler ultrasound recording of flow velocity in basal cerebral arteries. ...,1996,"CA Giller, B Ratcliff, B Berger, A Giller ",http://www.sciencedirect.com/science/article/pii/0301562996000245,25
Patterns of cerebrovascular reactivity in patients with unilateral asymptomatic carotid artery stenosis.,"... mechanisms by which large cerebral arter- ies can dilate in situations with local cerebral stealto ... fre- quency flow velocity amplitudes from decreased wave reflection and the increased middle-to high ... This phenomenon is due to the reduced ""windkessel"" effect with vasodila- tion. ...",1994,"H Fürst, WH Hartl, I Janssen ",http://stroke.ahajournals.org/content/25/6/1193.short,39
Arterial Doppler ultrasound in 115 second‐and third‐trimester fetuses with congenital heart disease,... or in significant insufficiencies of semilunar valves leading to an impaired 'wind- kessel function'may ... Figure 2 Middle cerebral artery pulsatility indices (PI) of 49 fetuses with isolated ... a substantialpulmonary valve insufficiency causing an insufficient 'windkessel function' and/or ...,2001,"C Meise, U Germer, U Gembruch ",http://onlinelibrary.wiley.com/doi/10.1046/j.1469-0705.2001.00397.x/full,34
Sequentially-coupled arterial fluid–structure interaction (SCAFSI) technique,"... The structural modeling for the arteries can be based on the membrane or continuum elements ...was introduced in [44] and [9] as an approximate FSI approach in arterial fluid mechanics. ... Thetest computations are for the abdominal aortic and cerebral aneurysms, and the arterial ...",2009,"TE Tezduyar, M Schwaab, S Sathe ",http://www.sciencedirect.com/science/article/pii/S004578250800217X,96
Cerebral hemodynamics during arterial and CO2 pressure changes: in vivo prediction by a mathematical model,"... relationships among ICP, CBV, and cerebrovascular control mechanisms in acute brain damage(50 ... The results concern the reproduction of ICP and middle cerebral artery (MCA) velocity tracingsduring ... vascular bed are reproduced by means of a simple windkessel model (that ...",2000,"M Ursino, A Ter Minassian, CA Lodi… ",http://ajpheart.physiology.org/content/279/5/H2439.short,80
Abnormal arterial flows by a distributed model of the fetal circulation,"... Ao); 2 (left and right), carotid arteries (Car As); 3 (left and right), middle cerebral arteries (MCAs);4 ... brain (B, 4 Windkessels), kidneys (K, 2 Windkessels), lower body (L, 2 Windkessels), and the ...B: schematic drawing of a three-element Windkessel, where R C denotes the organ ...",2006,JPHM van den Wijngaard… ,http://ajpregu.physiology.org/content/291/5/R1222?iss=5,28
Determinants of human cerebral pressure–flow velocity relationships: new insights from vascular modelling and Ca2+ channel blockade,... Non-technical summary Brain function is critically dependent on the regulation of cerebral ... thisstudy we implemented a regression analysis approach based on the Windkessel model to ... Ourfirst objective was to test the hypothesis that mean middle cerebral artery velocity (MCAv ...,2011,"YC Tzeng, GSH Chan, CK Willie… ",http://onlinelibrary.wiley.com/doi/10.1113/jphysiol.2011.206953/full,44
"Cerebral hemodynamics in normal aging: central artery stiffness, wave reflection, and pressure pulsatility","... Notably, steeper changes in CBF pulsatility occurred after middle age, which also correspond ...CBF pulsatility is, at least in part, determined by the central–cerebral hemodynamic interactions. ...during early systole which would not be dampened effectively by Windkessel function. ...",2014,"T Tarumi, MA Khan, J Liu, BM Tseng, R Parker… ",http://www.nature.com/jcbfm/journal/v34/n6/full/jcbfm201444a.html,39
Effect of generalised sympathetic activation by cold pressor test on cerebral haemodynamics in healthy humans,"... sympathetic stimulation, an increase in blood velocity of the middle cerebral artery (MCA) was ...of the proximal insonated vessel (MCA), since, according to the Windkessel model (Ref ...Noninvasive transcranial Doppler ultrasound recording of flow velocity in basal cerebral arteries. ...",1998,"S Roatta, G Micieli, D Bosone, G Losano, R Bini… ",http://www.sciencedirect.com/science/article/pii/S0165183898000757,43
Oscillations in cerebral blood flow and cortical oxygenation in Alzheimer's disease,"... The middle cerebral arteries were identified according to their signal depth, velocity, and wave ...Key: BP, blood pressure; bpm, beats per minute; CBFV, cerebral blood flow velocity ... Mini MentalState Examination; MRI, magnetic resonance imaging; MTA medial temporal lobe ...",2012,"AHEA van Beek, J Lagro, MGM Olde",http://www.sciencedirect.com/science/article/pii/S0197458010004999,44
Patient‐specific arterial fluid–structure interaction modeling of cerebral aneurysms,"... Cerebral arteries are surrounded by cerebrospinal fluid, and we expect that to have a dampingeffect on the structural dynamics of the ... which, as a function of time, is determined based on theflow rate using the Windkessel model 77 ... Left: Model-1, Middle: Model-2, Right: Model-3 ...",2011,"K Takizawa, C Moorman, S Wright… ",http://onlinelibrary.wiley.com/doi/10.1002/fld.2360/full,73
Dynamic cerebral autoregulation during repeated squat-stand maneuvers,"... CBFV was obtained in the middle cerebral artery (MCA) by TCD ultrasonography. This techniqueallows noninvasive and repeatable estimates of changes in CBF on a beat-to-beat basis. ... Inaddition, arterial saturation (pulse-oximetry) and three-lead ECG were registered. ...",2009,"JAHR Claassen, BD Levine… ",http://jap.physiology.org/content/106/1/153.short,82
Cerebral pressure-flow relations in hypertensive elderly humans: transfer gain in different frequency domains,"... Collins, TX) to obtain heart rate and a photoplethysmographic cuff on the middle finger of ... Toevaluate the beat-to-beat dynamics of arterial blood pressure (ABP) and CBFV responses ... Becausecerebrovascular reactivity is a measure of how much the cerebral arteries dilate for a ...",2005,"JM Serrador, FA Sorond, M Vyas… ",http://jap.physiology.org/content/98/1/151.short,95
Multiscale sequentially-coupled arterial FSI technique,"... func- tion of time, is determined based on the flow rate using the Windkessel model [63 ... structuralmechanics part, as a boundary condition at the ends of the arteries, we set ... extracted from thecomputed tomography model of a bifurcating segment of the middle cerebral artery of a ...",2010,"TE Tezduyar, K Takizawa, C Moorman, S Wright… ",http://link.springer.com/article/10.1007/s00466-009-0423-2,85
Measuring pulsatile flow in cerebral arteries using 4D phase-contrast MR imaging,... The venous manifestations of pulse wave encephalopathy: Windkessel dysfunction in normalaging and ... Fast whole-brain 4D contrast-enhanced MR angiography with velocity encoding ... Velocitymeasurements in the middle cerebral arteries of healthy volunteers using 3D radial ...,2013,"A Wåhlin, K Ambarki, R Birgander… ",http://www.ajnr.org/content/34/9/1740.short,23
Selected contribution: cerebrovascular NOS and cyclooxygenase are unaffected by estrogen in mice lacking estrogen receptor-α,"... In wild-type mice after carotid arterial injury, vascular medial area increases, and there is ... Middlecerebral artery segments were mounted in an arteriograph (Living Systems, Burlington, VT ... Theproximal cannula was connected through a pressure transducer and windkessel to a ...",2001,"GG Geary, AM McNeill, JA Ospina… ",http://jap.physiology.org/content/91/5/2391.short,55
Stiffness of cerebral arteries—its role in the pathogenesis of cerebral aneurysms,"... This observation endorses the com mon occurrence of aneurysms after the middle age. ... the arterialdistensibility on pulsatile blood flow has been widely known as the ""Windkessel effect ... However,if the medial defect at the apex of cerebral arterial bifurcation was covered with an ...",1974,"K MORITAKE, H HANDA, A OKUMURA… ",http://jlc.jst.go.jp/DN/JALC/00304003660?from=Google,18
Total arterial inertance as the fourth element of the windkessel model,... Middle: aortic flow measured in dog 71.Bottom: measured (dog 71) and model-derived aortic ...note that the four-element windkessel contains all characteristics of the two- and three-elementwindkessels. ... We can now explain the function of the four-element windkessel as follows. ...,1999,"N Stergiopulos, BE Westerhof… ",http://ajpheart.physiology.org/content/276/1/H81.short,318
Measurements of mouse pulmonary artery biomechanics,"... Histology on a representative mouse pulmonary artery demon- strated intact medial and adventitial ...Arterial Compliance in Dogs and Pigs: The Three-Element Windkessel Model Revisited ... andChesler, NC, 2004, ''Mechani- cal Properties of Rat Middle Cerebral Arteries NOS 3 ...",2004,"NC Chesler, J Thompson",http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.452.4972&rep=rep1&type=pdf,35
Blood pressure and blood flow variation during postural change from sitting to standing: model development and validation,... One (27) used an open-loop (3-element windkessel) model to analyze dynamics of ... were obtainedby minimizing the error between computed and measured middle cerebral artery blood flow ... ACross-sectional area a Aorta ac Cerebral arteries (in the brain) acp Peripheral ...,2005,"MS Olufsen, JT Ottesen, HT Tran… ",http://jap.physiology.org/content/99/4/1523.short,127
Human cerebral circulation: positron emission tomography studies,... and outcome in patients with symptomatic internal carotid or middle cerebral artery occlusion:a ... Evidence of a cere- brovascular postarteriole windkessel with delayed compliance.J Cereb ...Regional cerebral blood flow during stimulation of seventh cranial nerve.Stroke 1973; 4 ...,2005,"H Ito, I Kanno, H Fukuda ",http://link.springer.com/article/10.1007/BF03027383,115
Role of 0D peripheral vasculature model in fluid–structure interaction modeling of aneurysms,"... 4-element Windkessel/inertial model work well [6,29], but the Windkessel parameter estimation ...Whilst we mainly focus on aneurysms at the middle cerebral artery (MCA) bifurcation, which isone of ... The blood flow in the cerebral arteries is assumed to be laminar for the Reynolds ...",2010,"R Torii, M Oshima, T Kobayashi, K Takagi… ",http://link.springer.com/article/10.1007/s00466-009-0439-7,64
A mathematical study of human intracranial hydrodynamics part 1—the cerebrospinal fluid pulse pressure,"... since the contribution of terminal branches of the anterior, posterior and middle cerebral arterieshas not ... dural sinuses to the heart, has been schematized with a simple Windkessel element(ie ... a mod- erate hypertension (diastolic ICP of about 11 mmHg), a mid-high hypertension ...",1988,M Ursino ,http://link.springer.com/article/10.1007/BF02364625,162
Blood pressure regulation IX: cerebral autoregulation under blood pressure challenges,"... to fully abolish the myogenic response is complicated by the blood–brain barrier, which ... Windkesselproperties, the data were fitted to a 2-element Windkessel model that ... that steady-state vasodilationexplained the vast majority (~90 %) of middle cerebral artery blood velocity ...",2014,"YC Tzeng, PN Ainslie ",http://link.springer.com/article/10.1007/s00421-013-2667-y,50
Cardiovascular disease risk and cerebral blood flow velocity,... mean and higher pulsatile blood flow velocity in both the middle cerebral (MCA) and ... Agedependence of the flow velocity in the basal cerebral arteries—a transcranial Doppler ... The venousmanifestations of pulse wave encephalopathy: Windkessel dysfunction in normal aging ...,2012,"MP Pase, NA Grima, CK Stough, A Scholey, A Pipingas ",http://stroke.ahajournals.org/content/43/10/2803.short,21
Blood flow in the circle of Willis: modeling and calibration,"... Doppler ultrasound for the right an- terior cerebral artery (R ACA), right middle cerebral artery(R MCA ... in Ta- ble 2. Boundary conditions link the circle of Willis to the cerebral network of ... aremarked with a wave, while outflow conditions are marked with a windkessel circuit with ...",2008,"K DeVault, PA Gremaud, V Novak, MS Olufsen… ",http://epubs.siam.org/doi/abs/10.1137/07070231X,67
Validation of a patient-specific one-dimensional model of the systemic arterial tree,"... arteries (ECA), internal carotid arteries (ICA), vertebral arteries (VA), and middle cerebral artery(MCA)] using B ... CCA, ECA, ICA: extracranial window, insonation angle 60°) and cerebral (VA:suboccipital ... inflow waveform at the aortic root with the distal Windkessel model values ...",2011,"P Reymond, Y Bohraus, F Perren… ",http://ajpheart.physiology.org/content/301/3/H1173.short,98
Persistence of isolated flow in the internal carotid artery in brain death,"... is oscillatory movement of blood in the large arteries at the base of the brain without any ... pattern),which is mainly due to the elasticity of the arterial wall (Windkessel effect ... ie, oscillating flow orshort systolic spikes) should be recorded in the middle cerebral artery (MCA), vertebral ...",2003,"GR De Freitas, C Andre, M Bezerra, RG Nunes… ",http://www.sciencedirect.com/science/article/pii/S0022510X03000650,40
Histological and ultrastructural features of atherosclerosis in progeria,"... There was a large old infarct in the distribution of the left middle cerebral artery and no significantcerebral atherosclerosis macroscopically. ... In overt atherosclerotic lesions, lipofuscin wasconcentrated in areas of atheromatous debris (Figure 5) and absent in medial muscle. ...",1999,"WE Stehbens, E Gilbert",http://www.sciencedirect.com/science/article/pii/S1054880798000234,76
Transcranial Doppler assessment of brain death in children,,1998,"SY Qian, XM Fan, HH Yin ",,19
"Dynamic cerebral autoregulation in subjects with Alzheimer's disease, mild cognitive impairment, and controls: evidence for increased peripheral vascular resistance  …","... Fig. 1. Windkessel model consisting of arterial resistance (Ra), peripheral resistance (Rp), andperipheral compliance (Cp ... Middle 33 16 35 NS ... MMSE = Mini Mental State Examination; MTA =medial temporal lobe atrophy; sBP, dBP, mBP = systolic, diastolic, mean blood pressure ...",2012,"ED Gommer, EGHJ Martens, P Aalten… ",http://content.iospress.com/articles/journal-of-alzheimers-disease/jad111628,27
Cerebral artery flow velocity acceleration and deceleration characteristics in newborn infants,"... particularly lack of elastin which could result in a reduced windkessel phenomenon. ... AbbreviationsMCA, middle cerebral artery BA, basilar artery Vmn, mean Doppler spectral velocity Ve,i, end ...was therefore to examine the effect of gestational age on cerebral velocity waveform ...",1989,"TNK Raju, SY Kim ",http://scholar.google.com/https://www.researchgate.net/profile/Tonse_Raju/publication/20554254_Cerebral_artery_flow_velocity_acceleration_and_deceleration_characteristics_in_newborn_infants/links/54dcff180cf28a3d93f88923.pdf,14
Integrative regulation of human brain blood flow,... Regulation by arterial blood gases. Brain perfusion is highly sensitive to changes in changesin P aCO 2 . Studies using transcranial Doppler ultrasound of the middle (Ide et al. ... 2011)and posterior cerebral arteries and the basilar artery (Skow et al. ...,2014,"CK Willie, YC Tzeng, JA Fisher… ",http://onlinelibrary.wiley.com/doi/10.1113/jphysiol.2013.268953/full,103
On the regulation of the blood supply to the brain: old age concepts and new age ideas,"... recordings in superior cervical ganglion of sheep indicate that the opposite occurs in the brain:cerebral sympathetic nerves are activated during acute hypertension, not hypotension (4). Thus,cerebral vessels may ... (2) found that, compared with the middle meningeal and ...",2010,"PN Ainslie, YC Tzeng ",http://jap.physiology.org/content/108/6/1447.short,25
Patient-specific modeling of cardiovascular mechanics,"... Main, right, and left pulmonary arterial flow and pressure are shown for simulations performedwith and without ... ... 5. Volume rendering of velocity magnitude for patient-specific model of bloodflow from aorta to cerebral arteries for a patient with a right middle cerebral aneurysm ...",2009,"CA Taylor, CA Figueroa ",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4581431/,211
Fourier analysis of the cerebrovascular system.,"... 14 normal controls (top), five patients with arterio- venous malformations (top mid- dle), five ...demonstrated by the near-superimposition of the three curves in Figure 3, bottom middle. ... for usein peripheral vessels, where in the normal resting condition Windkessel effects dominate ...",1991,"PC Njemanze, OJ Beck, CR Gomez, S Horenstein ",http://stroke.ahajournals.org/content/22/6/721.short,28
Linearity and non-linearity in cerebral hemodynamics,"... The behavior of G(s) thus depends upon the choice of H(s). When H is first order, ie, when , isthe so-called ' hi-pass' model of cerebral circulation [6] and [25]. ... Note, however, that functionsof this form can arise from serial connections of three Windkessel elements. ...",2003,"CA Giller, M Mueller ",http://www.sciencedirect.com/science/article/pii/S1350453303000286,73
Quantitative análisis of microstructural components of human cerebral arteries,"... of a vascular wall on pulsatile ﬂow dynamics is known as the Windkessel effect (Burton ...Microstructural Components of Human Cerebral Arteries 81 medial coats, develops thehigh-pressure ... and development of cerebral aneurysms that commonly occur after middle age ...",1981,"K Moritake, H Handa, A Okumura, S Nagasawa… ",http://scholar.google.com/https://www.researchgate.net/profile/Kozaburo_Hayashi/publication/17072768_Quantitative_analysis_of_microstructural_components_of_human_cerebral_arteries/links/0fcfd50ece70516b1e000000.pdf,8
Transcranial Doppler ultrasound blood flow velocity and pulsatility index as systemic indicators for Alzheimer's disease,"... brain tumor, major depressive disorder (unipolar or bipolar), schizophrenia, traumatic brain injury,and ... velocity, MFV in cm/s, and pulsatility indices generated by intracranial arteries. ... of 16 intracranialarterial segments as follows: left distal middle cerebral artery, left proximal ...",2011,"AE Roher, Z Garami, SL Tyas, CL Maarouf… ",http://www.sciencedirect.com/science/article/pii/S1552526010024556,44
"Arterial stiffness, the brain and cognition: a systematic review","... in prefrontal region for older adults, the anterior limb of the internal capsule for middle-aged adults ...White matter hyperintensities and silent brain infarcts. ... PWV was associated with greater whitematter hyperintensity volume, and greater prevalence of silent cerebral infarcts (p ...",2014,"J Singer, JN Trollor, BT Baune, PS Sachdev… ",http://www.sciencedirect.com/science/article/pii/S156816371400018X,40
A mathematical study of human intracranial hydrodynamics part 2—Simulation of clinical tests,"... Finally, as in the traditional Windkessel models, cerebral blood flow is given by the sum ... tracing)obtained on a normal man (case a) and a girl with brain tamponade (case ... employing theextracranial Doppler technique (17,18,24) and in the human middle cerebral artery with the ...",1988,M Ursino ,http://link.springer.com/article/10.1007/BF02364626,51
Cerebrovascular blood flow dynamic changes in fetuses with congenital heart disease,"... right-sided obstructive lesions; MTC = mixed type of CHD; MCA-PI = middle cerebral arterypulsatility index. ... pulsatility in the descending aorta and UA by an impaired 'windkessel function ...Cetta F, Falkensammer CB, Huhta JC, Kleinman CS: Autoregulation of cerebral blood flow ...",2009,"L Guorong, L Shaohui, J Peng, L Huitong… ",http://www.karger.com/Article/Abstract/209203,29
A hemodynamic model and a mathematical method to calculate the dynamics index for cerebral circulation,"... _ The first lumped parameters model for systematic circulation was Windkessel (Frank, 1899),which had only two elements ... 78 artery Middle cerebral artery m1,m2 7 0. 35 760. ... Because thecerebral circulation is closed deeply in cranial space, it is difficult to get the information ...",1997,"DGLCY Wei, W Yan",http://166.111.121.20:9080/mathjournal/SDYW199704/sdyw199704007.caj.pdf,20
Vascular graph model to simulate the cerebral blood flow in realistic vascular networks,"... Middle row: Distribution of the scalar after 100 time steps ... Mandeville et al have extended thisidea with the Windkessel model (Mandeville et al, 1999), which specifies ... Castro MA, PutmanCM, Cebral JR (2006) Patient-specific computational modeling of cerebral aneurysms with ...",2009,"J Reichold, M Stampanoni, AL Keller, A Buck… ",http://www.nature.com/jcbfm/journal/v29/n8/abs/jcbfm200958a.html,72
