Title,Excerpt,Year,Authors,URL,Citations
"Effects of oral and transdermal estrogen replacement therapy on markers of coagulation, fibrinolysis, inflammation and serum lipids and lipoproteins in  …","Summary We compared the effects of oral estradiol (2 mg), transdermal estradiol (50 mg), and placebo on measures of coagulation, fibrinolysis, inflammation and serum lipids and lipoproteins in 27 postmenopausal women at baseline and after 2 and 12 weeks of  ...",2001,"S Vehkavaara, A Silveira… ",http://scholar.google.com/https://th.schattauer.de/en/contents/archive/issue/869/manuscript/2723/basketAdd.html,305
"Association of variables of coagulation, fibrinolysis and acute-phase with atherosclerosis in coronary and peripheral arteries and those arteries supplying the brain.",We investigated the vessel status of coronary and peripheral arteries and those arteries supplying the brain in 929 consecutive male patients admitted to a coronary rehabilitation unit. The severity of coronary atherosclerosis was scored using coronary angiography.  ...,1995,"J Heinrich, H Schulte, R Schönfeld… ",http://europepmc.org/abstract/med/7667818,312
Methods for the evaluation of human fibrinolysis studies with two combined technics,METHODS Table 1 is a short summary of the most important methods used at the present time for the estimation of fibrinolysis. A few words of comment with regard to this table may be indicated. When only the primitive method of observing the lysis of clotted blood can be  ...,1958,"KN Von Kaulla, RL Schultz ",http://ajcp.oxfordjournals.org/content/29/2/104.abstract,260
On fibrinolysis induced by streptokinase in man,,1962,B Olow ,,258
"Troglitazone Improves Defects in Insulin Action, Insulin Secretion, Ovarian Steroidogenesis, and Fibrinolysis in Women with Polycystic Ovary Syndrome 1","Women with polycystic ovary syndrome (PCOS) are characterized by defects in insulin action, insulin secretion, ovarian steroidogenesis, and fibrinolysis. We administered the insulin-sensitizing agent troglitazone to 13 obese women with PCOS and impaired  ...",1997,"DA Ehrmann, DJ Schneider, BE Sobel… ",http://press.endocrine.org/doi/abs/10.1210/jcem.82.7.4069,567
Evolution of the proteases of blood coagulation and fibrinolysis by assembly from modules,,1985,L Patthy ,,486
…  time matter? A pooled analysis of randomized clinical trials comparing primary percutaneous coronary intervention and in-hospital fibrinolysis in acute myocardial  …,"Aims Although outcomes after acute myocardial infarction (AMI) seemed to be superior with primary percutaneous coronary intervention (PPCI) relative to fibrinolysis (FL), the extent to which treatment delay modulates this treatment effect is unclear.",2006,E Boersma ,http://eurheartj.oxfordjournals.org/content/27/7/779.short,537
The effects of different anesthetic regimens on fibrinolysis and the development of postoperative arterial thrombosis,"Brian A. Rosenfeld, MD, Charles Beattie, Ph.D., MD, Rose Christopherson, MD, Ph.D., Edward J. Norris, MD, Steven M. Frank, MD, Michael J. Breslow, MD, Peter Rock, MD, Stephen D. Parker, MD, Sidney O. Gottlieb, MD, Bruce A. Perler, MD, G Melville Williams, MD, Alex  ... ",1993,"BA Rosenfeld, C Beattie… ",http://anesthesiology.pubs.asahq.org/article.aspx?articleid=1950894,306
Fibrinolysis. Its mechanism and significance,"T HE BIOLOGIC processes that produce a gross physical change have always attracted much interest. The transformation of fluid blood to solid clot, for instance, has been the subject of experiment and discussion the amount of which seems disproportionate to its  ...",1948,"RG Macfarlane, R Biggs ",http://www.bloodjournal.org/content/3/10/1167.short,214
Fibrinolysis and risk of coronary artery disease,,1996,I Juhan,,54
Routine early angioplasty after fibrinolysis for acute myocardial infarction,Background Patients with a myocardial infarction with ST-segment elevation who present to hospitals that do not have the capability of performing percutaneous coronary intervention (PCI) often cannot undergo timely primary PCI and therefore receive fibrinolysis. The role  ...,2009,"WJ Cantor, D Fitchett, B Borgundvaag… ",http://www.nejm.org/doi/full/10.1056/NEJMoa0808276,539
Diesel exhaust inhalation causes vascular dysfunction and impaired endogenous fibrinolysis,"Background—Although the mechanisms are unknown, it has been suggested that transient exposure to traffic-derived air pollution may be a trigger for acute myocardial infarction. The study aim was to investigate the effects of diesel exhaust inhalation on vascular and  ...",2005,"NL Mills, H Törnqvist, SD Robinson, M Gonzalez… ",http://circ.ahajournals.org/content/112/25/3930.short,458
Thrombin activatable fibrinolysis inhibitor and the risk for deep vein thrombosis,"Abstract Thrombin activatable fibrinolysis inhibitor (TAFI, or procarboxypeptidase B) is the precursor of a recently described carboxypeptidase that potently attenuates fibrinolysis. Therefore, we hypothesized that elevated plasma TAFI levels induce a hypofibrinolytic  ...",2000,"NH van Tilburg, FR Rosendaal, RM Bertina ",http://www.bloodjournal.org/content/95/9/2855.short,393
Observations on fibrinolysis experimental activity produced by exercise or adrenaline,,1947,"R Biggs, RG Macfarlane, J Pilling ",,362
Clinical application of inhibitors of fibrinolysis,"Summary The basic proteinase inhibitor from bovine organs, aprotinin, was first identified in 1930 and its effect on enzyme and other biological systems has since been extensively studied. Aprotinin can only be administered intravenously and has a half-life of about 2  ...",1985,M Verstraete ,http://link.springer.com/article/10.2165/00003495-198529030-00003,454
The biological significance of fibrinolysis,,1956,T Astrup ,,357
The role of fibrinolysis in adhesion formation.,"Postsurgical abdominal adhesions and their sequelae continue to present major clinical and medicoeconomic problems. A complex network of mediators and responses affecting at least five interrelated biological systems, including the fibrinolytic system, are involved in  ...",1996,L Holmdahl ,http://europepmc.org/abstract/med/9076449,211
Inhibition of endotoxin-induced activation of coagulation and fibrinolysis by pentoxifylline or by a monoclonal anti-tissue factor antibody in chimpanzees.,Abstract Introduction Knowledge of the pathogenetic mechanisms responsible for the activation of the coagulation system associated with endotoxemia is important for the development of improved modalities for prevention and treatment. We analyzed the  ...,1994,"M Levi, H ten Cate, KA Bauer… ",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC293743/,412
A study of the mechanism of inhibition of fibrinolysis by activated thrombin-activable fibrinolysis inhibitor,"Abstract TAFI (thrombin-activable fibrinolysis inhibitor) is a recently described plasma zymogen that, when exposed to the thrombin-thrombomodulin complex, is converted by proteolysis at Arg 92 to a basic carboxypeptidase that inhibits fibrinolysis (TAFIa). The  ...",1998,"W Wang, MB Boffa, L Bajzar, JB Walker… ",http://www.jbc.org/content/273/42/27176.short,402
"Clustering of procoagulation, inflammation, and fibrinolysis variables with metabolic factors in insulin resistance syndrome","Abstract The known metabolic cardiovascular disease risk factors associated with insulin resistance syndrome (IRS) do not adequately explain the excess cardiovascular disease risk attributed to this syndrome, and abnormalities in hemostatic variables may contribute to  ...",2000,"PA Sakkinen, P Wahl, M Cushman… ",http://aje.oxfordjournals.org/content/152/10/897.short,438
Effects of hormone-replacement therapy on fibrinolysis in postmenopausal women,"Background Plasma levels of plasminogen-activator inhibitor type 1 (PAI-1), an essential inhibitor of fibrinolysis in humans, increase in women after menopause, and this may contribute to the risk of cardiovascular disease. We studied the effects of hormone- ...",1997,"KK Koh, R Mincemoyer, MN Bui, G Csako… ",http://www.nejm.org/doi/full/10.1056/NEJM199703063361002,456
"Fibrinogenolysis and fibrinolysis with tissue plasminogen activator, urokinase, streptokinase-activated human globulin, and plasmin","Summary In the presence of porcine tissue plasminogen activator, fibrinolysis is greatly enhanced in comparison with fibrinogenolysis. In contrast, other activators (UK, SK-activator) and plasmin showed no, or moderate, differences between lysis of fibrinogen and fibrin.  ...",1971,"SM Camiolo, S Thorsen, T Astrup ",http://ebm.sagepub.com/content/138/1/277.short,236
Fibrinolysis and atherosclerosis: an update,Interest in the fibrinolytic enzyme system in relation to atherosclerosis derives from the assumption that impaired fibrinolytic function should facilitate the growth and increase the final size of evolving thrombi and predispose to arterial occlusion. This might be of  ...,1994,"A Hamsten, P Eriksson ",http://www.sciencedirect.com/science/article/pii/0268949994907234,52
Paradoxical rescue from ischemic lung injury by inhaled carbon monoxide driven by derepression of fibrinolysis,"Carbon monoxide (CO) can arrest cellular respiration, but paradoxically, it is synthesized endogenously by heme oxygenase type 1 (Ho-1) in response to ischemic stress. Ho-1− deficient (Hmox1-/-) mice exhibited lethal ischemic lung injury, but were rescued from  ...",2001,"T Fujita, K Toda, A Karimova, SF Yan, Y Naka, SF Yet… ",http://www.nature.com/nm/journal/v7/n5/abs/nm0501_598.html,424
Two different mechanisms in patients with venous thrombosis and defective fibrinolysis: low concentration of plasminogen activator or increased concentration of  …,Abstract Fibrinolytic components after venous occlusion and concentrations of tissue plasminogen activator inhibitor were studied in 100 consecutive patients with confirmed recurrent deep vein thrombosis or pulmonary embolism. After 20 minutes of venous  ...,1985,"IM Nilsson, H Ljungnér, L Tengborn ",http://www.bmj.com/content/290/6480/1453.abstract,352
"Endothelial Dysfunction, Impaired Endogenous Fibrinolysis, and Cigarette Smoking A Mechanism for Arterial Thrombosis and Myocardial Infarction","Background—Effective endogenous fibrinolysis requires rapid release of tissue plasminogen activator (tPA) from the vascular endothelium. Smoking is a known risk factor for arterial thrombosis and myocardial infarction, and it causes endothelial dysfunction.  ...",1999,"DE Newby, RA Wright, C Labinjoh, CA Ludlam… ",http://circ.ahajournals.org/content/99/11/1411.short,389
An evaluation of the euglobulin method for the determination of fibrinolysis,"Results To evaluate the usefulness of the euglobulin method for the clinician, results obtained by examining 292 normal subjects were submitted to a statistical analysis carried out in the course of seven years by different workers. It can be seen from Table I that the  ...",1959,"E Kowalski, M Kopeć… ",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC479903/,194
Fibrinolysis in the animal organism,Abstract IT is now known that the action of the fibrinolytic substance produced by certain streptococci is due to its properties as an activator for the transformation of a proenzyme present in blood serum and plasma into a proteolytic enzyme acting on the fibrin. This  ...,1947,"T Astrup, PM Permin ",http://www.nature.com/nature/journal/v159/n4046/abs/159681b0.html,312
Effects of Oral and Transdermal Estrogen/Progesterone Regimens on Blood Coagulation and Fibrinolysis in Postmenopausal Women A Randomized Controlled Trial,"Abstract Postmenopausal hormone replacement therapy is associated with a reduction in the incidence of coronary heart disease. However, inconclusive results have been reported with respect to the risk of stroke, and recent studies consistently showed an increased risk  ...",1997,"PY Scarabin, M Alhenc",http://atvb.ahajournals.org/content/17/11/3071.short,399
"Relationships of plasma viscosity, coagulation and fibrinolysis to coronary risk factors and angina.","Plasma viscosity, molecular markers of activated coagulation and fibrinolysis (fibrinopeptides A and B beta 15-42), coagulation factors (fibrinogen and factor VII) and antiplasmins were measured in 529 men aged 35-54 years and related to new angina  ...",1991,"GD Lowe, DA Wood, JT Douglas… ",http://europepmc.org/abstract/med/2057913,136
Effects of psychological stress and psychiatric disorders on blood coagulation and fibrinolysis: a biobehavioral pathway to coronary artery disease?,Objective: A hypercoagulable state before overt thrombosis resulting from an imbalance between the coagulation and fibrinolysis systems is related to cardiovascular disease progression and acute coronary syndromes. Psychological stressors and depressive and  ...,2001,"R von Känel, PJ Mills, C Fainman… ",http://journals.lww.com/psychosomaticmedicine/Abstract/2001/07000/Effects_of_Psychological_Stress_and_Psychiatric.3.aspx,394
"OBSERVATIONS ON FIBRINOLYSIS SPONTANEOUS ACTIVITY ASSOCIATED WITH SURGICAL OPERATIONS, TRAUMA, &C.",,1946,"RG Macfarlane, R Biggs ",,254
Molecular mechanisms of initiation of fibrinolysis by fibrin,"Summary Fibrinogen is rather inert in the circulation, however, after conversion into fibrin it participates in various physiological processes including fibrinolysis. Initiation of fibrinolysis occurs through a number of orchestrated interactions between fibrin, plasminogen and its  ...",2003,"L Medved, W Nieuwenhuizen ",http://scholar.google.com/https://th.schattauer.de/contents/archive/issue/789/issue/special/manuscript/3372/show.html,175
Changes of plasma coagulation and fibrinolysis in response to mental stress.,"To study the effects of standardized mental stress (arithmetic and the Stroop color word test) on plasma coagulation and fibrinolysis, blood samples were obtained before, during, and after 20 minutes of mental stress from 10 healthy, non-smoking young males aged 22 to  ...",1989,"C Jern, E Eriksson, L Tengborn, B Risberg… ",http://europepmc.org/abstract/med/2814924,212
Molecular mechanisms of fibrinolysis,"Summary The molecular mechanisms that finely co-ordinate fibrin formation and fibrinolysis are now well defined. The structure and function of all major fibrinolytic proteins, which include serine proteases, their inhibitors, activators and receptors, have been  ...",2005,"G Cesarman‐Maus, KA Hajjar ",http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2141.2005.05444.x/full,425
Factors responsible for impaired fibrinolysis in obese subjects and NIDDM patients,Abstract Accelerated atherosclerosis is the leading cause of death in patients with non-insulin-dependent diabetes mellitus (NIDDM). Impaired endogenous fibrinolytic activity may accelerate atherosclerosis by exposing vascular luminal wall surfaces to persistent and  ...,1994,"JB McGill, DJ Schneider, CL Arfken, CL Lucore… ",http://diabetes.diabetesjournals.org/content/43/1/104.short,329
FIBRINOLYSIS ASSOCIATED WITH ONCOGENIC TRANSFORMATION REQUIREMENT OF PLASMINOGEN FOR CORRELATED CHANGES IN CELLULAR  …,Abstract Fetal bovine and dog serum were selectively freed of plasminogen by affinity chromatography. The resulting serum as well as native and reconstituted serum (obtained by the addition of purified plasminogen to the plasminogen-depleted serum) were used to  ...,1973,"L Ossowski, JP Quigley, GM Kellerman… ",http://jem.rupress.org/content/138/5/1056.abstract,266
Enhancing effect of dietary supplementation with ω-3 fatty acids on plasma fibrinolysis in normal subjects,Abstract A supplement of MaxEPA oil containing 5 g of ω-3 polyunsaturated fatty acids was given for two weeks to nine normal volunteers. The vascular plasminogen activator (VPA) level increased and there was a fall in the levels of inhibitors of vascular plasminogen  ...,1985,"U Barcelli, P Glas",http://www.sciencedirect.com/science/article/pii/0049384885902269,159
"…  recovery and prognosis in patients with ST-elevation myocardial infarction reperfused by prehospital combination fibrinolysis, prehospital initiated facilitated  …",Complete ST-segment recovery (STR) is associated with favorable prognosis in ST-elevation myocardial infarction (STEMI). The optimal reperfusion strategy in patients presenting soon after symptom onset is still a matter of debate. STR for patients treated by  ...,2006,"H Thiele, M Scholz, L Engelmann, WH Storch… ",http://www.sciencedirect.com/science/article/pii/S0002914906013580,35
Streptococcal fibrinolysis: a proteolytic reaction due to a serum enzyme activated by streptococcal fibrinolysin,"Tillett and Garner (1933) observed that cultures or culture filtrates of certain strains of beta hemolytic streptococci bring about rapid lysis of the fibrin clot formed on adding calcium or thrombin to human plasma. This reaction they termed"" fibrinolysis"" and the active agent in  ...",1945,LR Christensen ,http://jgp.rupress.org/content/28/4/363.abstract,346
Fibrinolysis with acyl-enzymes: a new approach to thrombolytic therapy,"Deep vein thrombosis in man presents a considerable clinical challenge. Despite the availability of prophylactic measures, therapeutic thrombolysis is often necessary, but is difficult and hazardous. Treatments have included the administration of plasmin, other less  ...",1981,"RAG Smith, RJ Dupe, PD English, J Green ",http://www.nature.com/nature/journal/v290/n5806/abs/290505a0.html,242
Evidence of a diurnal fibrinolytic rhythm; with a simple method of measuring natural fibrinolysis.,"1. Clin Sci (Lond). 1957 Nov;16(4):645-50. Evidence of a diurnal fibrinolytic rhythm; with a simplemethod of measuring natural fibrinolysis. FEARNLEY GR, BALMFORTH G, FEARNLEY E. PMID:13489905 [PubMed - indexed for MEDLINE]. MeSH Terms. Fibrin*. Substances. ...",1957,"GR Fearnley, G Balmforth… ",http://www.ncbi.nlm.nih.gov/pubmed/13489905,375
Update 1996: Blood collection and handling procedures for assessment of plasminogen activators and inhibitors (Leiden Fibrinolysis Workshop),Procedures of blood collection and handling can be different for the various variables in fibrinolysis. Some of them may require adaptation to the progress in assay methodology and in biochemical and physiological knowledge. During the Leiden Fibrinolysis Workshop 6  ...,1996,"C Kluft, P Meijer ",http://www.sciencedirect.com/science/article/pii/S0268949996800804,37
Derangements of coagulation and fibrinolysis in critically III patients with sepsis and septic shock,"Abstract In patients with sepsis and septic shock, both coagulation and fibrinolysis are activated frequently leading to the syndrome of diffuse intravascular coagulation (DIC). The different mechanisms leading to abnormalities in coagulation and fibrinolysis are  ...",1998,"MG Vervloet, LG Thijs, CE Hack ",http://scholar.google.com/https://www.thieme-connect.com/products/ejournals/abstract/10.1055/s-2007-995821,351
Polyphosphate modulates blood coagulation and fibrinolysis,"Abstract Inorganic polyphosphate is an abundant component of acidocalcisomes of bacteria and unicellular eukaryotes. Human platelet dense granules strongly resemble acidocalcisomes, and we recently showed that they contain substantial amounts of  ...",2006,"SA Smith, NJ Mutch, D Baskar… ",http://www.pnas.org/content/103/4/903.short,314
Fibrinolysis,Scheme 1 Streptokinase Fibrinokinase Plasmin (fibrinolytic enzyme) For the estimation of fibrinolytic enzymes we have developed a very convenient method (3). A fibrin clot about 1-2 mm. thick is made in a Petri dish. Drops of the enzyme solution are placed on the surface  ...,1952,T Astrup ,http://www.karger.com/Article/Abstract/204060,237
Analytical Review: Fibrinolysis in the Organism,Iu; F: As' riu'i'D t: HIN (; H IX h: N'f\ I: RS t ln heeum a growiuig interest in t he fibuiuiidvtic I) 10 ((55.'Ehis is the pi)(e55 1) y vhich t he hiviutg orgaumisuli diss () lVes I) h) O (l (lots aii (l disposes ofuibi'in (leposits. 1'vidence is a ((Iltnulating Ihat e (teal here\'it hi Olli' of the  ...,1956,T Astrup ,http://www.bloodjournal.org/content/11/9/781.short,445
Influence of fibrin network conformation and fibrin fiber diameter on fibrinolysis speed dynamic and structural approaches by confocal microscopy,"Abstract—Abnormal fibrin architecture is thought to be a determinant factor of hypofibrinolysis. However, because of the lack of structural knowledge of the process of fibrin digestion, relationships between fibrin architecture and hypofibrinolysis remain  ...",2000,"JP Collet, D Park, C Lesty, J Soria, C Soria… ",http://atvb.ahajournals.org/content/20/5/1354.short,307
Fibrinolysis in pregnancy: a study of plasminogen activator inhibitors,"Abstract During pregnancy the plasma concentration of two different inhibitors of plasminogen activators (PAIs) increases. The only one found in the plasma of nonpregnant women (PAI1) is immunologically related to a PAI of endothelial cells; its plasma activity,  ...",1987,"EK Kruithof, C Tran",http://www.bloodjournal.org/content/69/2/460.short,318
"Coagulation, fibrinolysis, and fibrin deposition in acute lung injury",Objectives: To review: a) the role of extravascular fibrin deposi-tion in the pathogenesis of acute lung injury; b) the abnormalities in the coagulation and fibrinolysis pathways that promote fibrin deposition in the acutely injured lung; and c) the pathways that contribute to  ...,2003,S Idell ,"http://pdfs.journals.lww.com/ccmjournal/2003/04001/Coagulation,_fibrinolysis,_and_fibrin_deposition.7.pdf",320
Fibrinolysis or primary PCI in ST-segment elevation myocardial infarction,"Background It is not known whether prehospital fibrinolysis, coupled with timely coronary angiography, provides a clinical outcome similar to that with primary percutaneous coronary intervention (PCI) early after acute ST-segment elevation myocardial infarction (STEMI).",2013,"PW Armstrong, AH Gershlick, P Goldstein… ",http://www.nejm.org/doi/full/10.1056/NEJMoa1301092,365
Factor in Normal Human Blood which participates in Streptocoeeal Fibrinolysis.,"Abstract One strain of group A haemolytic streptococci was used in these experiments. It was found that, although fibrinolysin from this strain dissolved the clots formed from human thrombin and human fibrinogen prepared in the ordinary way, clots formed by purified  ...",1941,H Milstone ,http://www.cabdirect.org/abstracts/19422700602.html,351
The hemostatic mechanism after open-heart surgery. I. Studies on plasma coagulation factors and fibrinolysis in 512 patients after extracorporeal circulation.,Blood coagulation screening profiles were performed in 512 patients who underwent open-heart surgery with extracorporeal circulation. Severe coagulation disorders were found in 29 (5.6 per cent) patients. The most common abnormalities were low one-stage prothrombin  ...,1975,"F Bachmann, R McKenna, ER Cole… ",http://europepmc.org/abstract/med/1152504,228
"Fibrinolysis associated with oncogenic transformation Partial purification and characterization of the cell factor, a plasminogen activator",Abstract The cell factor that is involved in tumor-associated fibrinolysis has been partially purified from the supernatant fluid of transformed chicken embryo fibroblast cultures. It is an arginine-specific protease that acts as a plasminogen activator. The molecular weight is  ...,1974,"J Unkeless, K Danø, GM Kellerman, E Reich ",http://www.jbc.org/content/249/13/4295.short,332
"Effects of high-dose aprotinin on blood loss, platelet function, fibrinolysis, complement, and renal function after cardiopulmonary bypass.",The use of aprotinin to reduce blood loss after cardiopulmonary bypass is under debate. Concern has been raised about the renal effects of aprotinin. We administered a mean aprotinin dose of 4.2 x 10 (6) kallikrein-inhibiting units to 13 patients with coronary disease  ...,1991,"B Blauhut, C Gross, S Necek, JE Doran… ",http://europepmc.org/abstract/med/1710008,280
Significance of cross-linking of α2-plasmin inhibitor to fibrin in inhibition of fibrinolysis and in hemostasis,"Received for publication 9 September 1981 and in revised form 2 November 1981. every experiment, particularly when the clot was com-pacted by platelet-mediated clot retraction or by squeezing. Thus, it was concluded that a2PI cross-linked to fibrin plays a significant  ...",1982,"Y Sakata, N Aoki ",http://www.ncbi.nlm.nih.gov/pmc/articles/pmc371009/,268
Effects of external pneumatic intermittent compression on fibrinolysis in man,"Abstract External pneumatic intermittent compression applied to the legs of patients undergoing surgery stimulates fibrinolysis during the postoperative period, when normally fibrinolysis would be expected to be depressed. This effect is accumulative but limited to  ...",1973,"F Allenby, JJ Pflug, L Boardman, JS Calnan ",http://www.sciencedirect.com/science/article/pii/S014067367392802X,165
Inhibition of fibrinolysis by alimentary lipaemia,,1956,HBW Greig ,,173
"… . Increased levels of procoagulants and reduced levels of inhibitors during pregnancy induce a hypercoagulable state, combined with a reactive fibrinolysis",Objective: To establish the physiologic changes in the coagulation and fibrinolytic systems during normal pregnancy and puerperium. Study Design: One hundred and seventeen normal pregnant women were investigated in a longitudinal study involving five  ...,1997,"F Cerneca, G Ricci, R Simeone, M Malisano… ",http://www.sciencedirect.com/science/article/pii/S0301211597027346,195
Enhancement of fibrinolysis with ultrasound energy,"The effect of ultrasound energy on fibrinolysis of artificial thrombus in vitro was investigated. Thrombi produced by the Chandler loop method were exposed to low-energy ultrasound (5,000-6,000 Pa) in an ultrasound bath (48 kHz) for 60 seconds. Fibrinolysis with  ...",1992,K Tachibana ,http://www.sciencedirect.com/science/article/pii/S1051044392720296,121
Local intraarterial fibrinolysis in acute vertebrobasilar occlusion,Summary Local intraarterial fibrinolytic therapy (LIF) in patients with acute vertebrobasilar occlusion (AVBO) is a rational and if successful a life saving treatment. The recent progress in this field is determined by the use of microcatheters for superselective basilar artery  ...,1989,"H Zeumer, HJ Freitag, U Grzyska, HP Neunzig ",http://link.springer.com/article/10.1007/BF00344178,182
"Fitzgerald trait: Deficiency of a hitherto unrecognized agent, Fitzgerald factor, participating in surface-mediated reactions of clotting, fibrinolysis, generation of kinins,  …",Abstract The prolonged partial thromboplastin time observed in the plasma of a 71-yr-old asymptomatic man was related to the deficiency of a hitherto unrecognized agent. The patient's plasma also exhibited impaired surface-mediated fibrinolysis and esterolytic  ...,1975,"H Saito, OD Ratnoff, R Waldmann… ",http://www.ncbi.nlm.nih.gov/pmc/articles/pmc301855/,281
